station,valid,lon,lat,drct,sped,gust_mph,peak_wind_gust_mph,peak_wind_drct,peak_wind_time
SPW,2020-08-31 21:50,-95.2101,43.1682,290.00,9.20,M,M,M,M
SPW,2020-08-31 21:53,-95.2101,43.1682,340.00,5.75,M,M,M,M
SPW,2020-08-31 21:55,-95.2101,43.1682,340.00,8.05,M,M,M,M
SPW,2020-08-31 22:00,-95.2101,43.1682,350.00,10.35,M,M,M,M
SPW,2020-08-31 22:05,-95.2101,43.1682,50.00,4.60,M,M,M,M
SPW,2020-08-31 22:15,-95.2101,43.1682,10.00,8.05,M,M,M,M
SPW,2020-08-31 22:20,-95.2101,43.1682,10.00,5.75,M,M,M,M
SPW,2020-08-31 22:25,-95.2101,43.1682,10.00,8.05,M,M,M,M
SPW,2020-08-31 22:30,-95.2101,43.1682,20.00,8.05,M,M,M,M
SPW,2020-08-31 22:35,-95.2101,43.1682,350.00,10.35,M,M,M,M
SPW,2020-08-31 22:40,-95.2101,43.1682,350.00,8.05,M,M,M,M
SPW,2020-08-31 22:45,-95.2101,43.1682,360.00,9.20,M,M,M,M
SPW,2020-08-31 22:50,-95.2101,43.1682,330.00,8.05,M,M,M,M
SPW,2020-08-31 22:53,-95.2101,43.1682,330.00,5.75,M,M,M,M
SPW,2020-08-31 22:55,-95.2101,43.1682,360.00,5.75,M,M,M,M
SPW,2020-08-31 23:05,-95.2101,43.1682,340.00,5.75,M,M,M,M
SPW,2020-08-31 23:10,-95.2101,43.1682,320.00,8.05,M,M,M,M
SPW,2020-08-31 23:15,-95.2101,43.1682,330.00,9.20,M,M,M,M
SPW,2020-08-31 23:20,-95.2101,43.1682,330.00,5.75,M,M,M,M
SPW,2020-08-31 23:25,-95.2101,43.1682,320.00,5.75,M,M,M,M
SPW,2020-08-31 23:40,-95.2101,43.1682,310.00,4.60,M,M,M,M
SPW,2020-08-31 23:45,-95.2101,43.1682,340.00,5.75,M,M,M,M
SPW,2020-08-31 23:50,-95.2101,43.1682,340.00,5.75,M,M,M,M
SPW,2020-08-31 23:53,-95.2101,43.1682,330.00,6.90,M,M,M,M
SPW,2020-09-01 00:00,-95.2101,43.1682,360.00,8.05,M,M,M,M
SPW,2020-09-01 00:05,-95.2101,43.1682,360.00,5.75,M,M,M,M
SPW,2020-09-01 00:10,-95.2101,43.1682,360.00,4.60,M,M,M,M
SPW,2020-09-01 00:20,-95.2101,43.1682,10.00,2.30,M,M,M,M
SPW,2020-09-01 00:25,-95.2101,43.1682,360.00,2.30,M,M,M,M
SPW,2020-09-01 00:35,-95.2101,43.1682,10.00,2.30,M,M,M,M
SPW,2020-09-01 00:45,-95.2101,43.1682,20.00,4.60,M,M,M,M
SPW,2020-09-01 00:50,-95.2101,43.1682,10.00,5.75,M,M,M,M
SPW,2020-09-01 00:53,-95.2101,43.1682,20.00,5.75,M,M,M,M
SPW,2020-09-01 00:55,-95.2101,43.1682,20.00,4.60,M,M,M,M
SPW,2020-09-01 01:00,-95.2101,43.1682,30.00,5.75,M,M,M,M
SPW,2020-09-01 01:05,-95.2101,43.1682,40.00,4.60,M,M,M,M
SPW,2020-09-01 01:10,-95.2101,43.1682,50.00,4.60,M,M,M,M
SPW,2020-09-01 01:15,-95.2101,43.1682,50.00,4.60,M,M,M,M
SPW,2020-09-01 01:20,-95.2101,43.1682,60.00,4.60,M,M,M,M
SPW,2020-09-01 01:30,-95.2101,43.1682,40.00,4.60,M,M,M,M
SPW,2020-09-01 01:40,-95.2101,43.1682,350.00,2.30,M,M,M,M
SPW,2020-09-01 01:45,-95.2101,43.1682,300.00,4.60,M,M,M,M
SPW,2020-09-01 01:50,-95.2101,43.1682,290.00,4.60,M,M,M,M
SPW,2020-09-01 01:53,-95.2101,43.1682,290.00,4.60,M,M,M,M
SPW,2020-09-01 01:55,-95.2101,43.1682,290.00,4.60,M,M,M,M
SPW,2020-09-01 02:05,-95.2101,43.1682,320.00,2.30,M,M,M,M
SPW,2020-09-01 02:10,-95.2101,43.1682,330.00,8.05,M,M,M,M
SPW,2020-09-01 02:15,-95.2101,43.1682,340.00,5.75,M,M,M,M
SPW,2020-09-01 02:25,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 02:30,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 02:35,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 02:40,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 02:45,-95.2101,43.1682,320.00,2.30,M,M,M,M
SPW,2020-09-01 02:50,-95.2101,43.1682,340.00,4.60,M,M,M,M
SPW,2020-09-01 02:53,-95.2101,43.1682,330.00,3.45,M,M,M,M
SPW,2020-09-01 02:55,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:00,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:05,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:10,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:15,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:20,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:30,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:35,-95.2101,43.1682,300.00,2.30,M,M,M,M
SPW,2020-09-01 03:40,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:45,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:50,-95.2101,43.1682,0.00,0.00,M,M,M,M
SPW,2020-09-01 03:53,-95.2101,43.1682,0.00,0.00,M,M,M,M
