#
#   d_openFoam
#   Author: Saang Bum Kim, sbkim1601@gmail.com
#   Date  : 2017-08-25T16:55:40+09:00
#

Angle of attack: -6
Block ID: 0, R1 = 44.008714, R2 = 43.099670, R3 = 42.604859, R4 = 44.005581
Block ID: 1, R1 = 6.564842, R2 = 6.564842, R3 = 6.564770, R4 = 6.514518
Block ID: 2, R1 = 1.356817, R2 = 1.356817, R3 = 1.297046, R4 = 1.296967
Block ID: 3, R1 = 1.414151, R2 = 1.414151, R3 = 1.366348, R4 = 1.366227
Block ID: 4, R1 = 1.275152, R2 = 1.275152, R3 = 1.099012, R4 = 1.099003
Block ID: 5, R1 = 1.937311, R2 = 1.937311, R3 = 1.900998, R4 = 1.900164
Block ID: 6, R1 = 1.727346, R2 = 1.727346, R3 = 1.722797, R4 = 1.722286
Block ID: 7, R1 = 1.162994, R2 = 1.162994, R3 = 1.029704, R4 = 1.029703
Block ID: 8, R1 = 4.057404, R2 = 4.057404, R3 = 4.049583, R4 = 4.036636
Block ID: 9, R1 = 4.057404, R2 = 4.057404, R3 = 4.049864, R4 = 4.036799
Block ID: 10, R1 = 1.162994, R2 = 1.162994, R3 = 1.029704, R4 = 1.029703
Block ID: 11, R1 = 1.727346, R2 = 1.727346, R3 = 1.722782, R4 = 1.722260
Block ID: 12, R1 = 1.937311, R2 = 1.937311, R3 = 1.901025, R4 = 1.900170
Block ID: 13, R1 = 1.275152, R2 = 1.275152, R3 = 1.099015, R4 = 1.099006
Block ID: 14, R1 = 1.414151, R2 = 1.414151, R3 = 1.366351, R4 = 1.366226
Block ID: 15, R1 = 1.356817, R2 = 1.356817, R3 = 1.297040, R4 = 1.296959
Block ID: 16, R1 = 17.714064, R2 = 17.714064, R3 = 17.713222, R4 = 17.061711
Block ID: 17, R1 = 140.967119, R2 = 142.085122, R3 = 130.680882, R4 = 142.093289
Block ID: 18, R1 = 43.096312, R2 = 44.010398, R3 = 44.148319, R4 = 44.148319
Block ID: 19, R1 = 6.564842, R2 = 6.564842, R3 = 6.574614, R4 = 6.574614
Block ID: 20, R1 = 1.356817, R2 = 1.356817, R3 = 1.297310, R4 = 1.297310
Block ID: 21, R1 = 1.414151, R2 = 1.414151, R3 = 1.366691, R4 = 1.366691
Block ID: 22, R1 = 1.275152, R2 = 1.275152, R3 = 1.099096, R4 = 1.099096
Block ID: 23, R1 = 1.937311, R2 = 1.937311, R3 = 1.902004, R4 = 1.902004
Block ID: 24, R1 = 1.727346, R2 = 1.727346, R3 = 1.723550, R4 = 1.723550
Block ID: 25, R1 = 1.162994, R2 = 1.460346, R3 = 1.029728, R4 = 1.029651
Block ID: 26, R1 = 4.057404, R2 = 4.057404, R3 = 4.052662, R4 = 4.052662
Block ID: 27, R1 = 4.057404, R2 = 4.057404, R3 = 4.052662, R4 = 4.052662
Block ID: 28, R1 = 1.162994, R2 = 1.460346, R3 = 1.029651, R4 = 1.029728
Block ID: 29, R1 = 1.727346, R2 = 1.727346, R3 = 1.723550, R4 = 1.723550
Block ID: 30, R1 = 1.937311, R2 = 1.937311, R3 = 1.902004, R4 = 1.902004
Block ID: 31, R1 = 1.275152, R2 = 1.275152, R3 = 1.099096, R4 = 1.099096
Block ID: 32, R1 = 1.414151, R2 = 1.414151, R3 = 1.366691, R4 = 1.366691
Block ID: 33, R1 = 1.356817, R2 = 1.356817, R3 = 1.297310, R4 = 1.297310
Block ID: 34, R1 = 17.714064, R2 = 17.714064, R3 = 17.755167, R4 = 17.755167
Block ID: 35, R1 = 142.085122, R2 = 141.234875, R3 = 142.664740, R4 = 142.664740
Block ID: 36, R1 = 44.003553, R2 = 44.034277, R3 = 52.495023, R4 = 52.495023
Block ID: 37, R1 = 6.564842, R2 = 6.564842, R3 = 7.164087, R4 = 7.164087
Block ID: 38, R1 = 1.356817, R2 = 1.356817, R3 = 1.312798, R4 = 1.312798
Block ID: 39, R1 = 1.414151, R2 = 1.414151, R3 = 1.386296, R4 = 1.386296
Block ID: 40, R1 = 1.275152, R2 = 1.275152, R3 = 1.103841, R4 = 1.103841
Block ID: 41, R1 = 1.937311, R2 = 1.937311, R3 = 1.958583, R4 = 1.958583
Block ID: 42, R1 = 1.421560, R2 = 1.870705, R3 = 0.920125, R4 = 1.870034
Block ID: 43, R1 = 1.421560, R2 = 1.870705, R3 = 1.870034, R4 = 0.920125
Block ID: 44, R1 = 1.937311, R2 = 1.937311, R3 = 1.958583, R4 = 1.958583
Block ID: 45, R1 = 1.275152, R2 = 1.275152, R3 = 1.103841, R4 = 1.103841
Block ID: 46, R1 = 1.414151, R2 = 1.414151, R3 = 1.386296, R4 = 1.386296
Block ID: 47, R1 = 1.356817, R2 = 1.356817, R3 = 1.312798, R4 = 1.312798
Block ID: 48, R1 = 17.714064, R2 = 17.714064, R3 = 20.243587, R4 = 20.243587
Block ID: 49, R1 = 141.404588, R2 = 141.376043, R3 = 177.972015, R4 = 177.972015
Block ID: 50, R1 = 44.000100, R2 = 44.130441, R3 = 48.247364, R4 = 48.247364
Block ID: 51, R1 = 6.564842, R2 = 6.564842, R3 = 6.861934, R4 = 6.861934
Block ID: 52, R1 = 1.356817, R2 = 1.357621, R3 = 1.294972, R4 = 1.302815
Block ID: 53, R1 = 1.156813, R2 = 1.474661, R3 = 1.424291, R4 = 1.113015
Block ID: 54, R1 = 0.231776, R2 = 1.244690, R3 = 1.062141, R4 = 1.244058
Block ID: 55, R1 = 1.909874, R2 = 1.910949, R3 = 1.838895, R4 = 1.916764
Block ID: 56, R1 = 1.870705, R2 = 1.235270, R3 = 1.836944, R4 = 1.476439
Block ID: 57, R1 = 1.870705, R2 = 1.235270, R3 = 1.476439, R4 = 1.836944
Block ID: 58, R1 = 1.909874, R2 = 1.910949, R3 = 1.916764, R4 = 1.838895
